timestep,episode_num,reward,length,won,target_word,guess_count,possible_words_count
864,143,-11.15,6,False,OCEAN,6,1
884,144,-10.6,6,False,THREW,6,1
888,145,-15.55,6,False,LEARN,6,1
888,146,-13.5,6,False,LEARN,6,1
888,147,-12.05,6,False,CLOTH,6,1
908,148,-16.25,6,False,SHALL,6,1
912,149,-24.5,6,False,GROWN,6,3
912,150,0.95,6,False,ARENA,6,1
912,151,-1.05,6,False,CRAZY,6,1
932,152,-20.05,6,False,NEEDS,6,1
936,153,-10.2,6,False,SMILE,6,1
936,154,-9.35,6,False,DRESS,6,1
936,155,-7.4,6,False,CLOUD,6,1
956,156,6.6,6,False,BASIC,6,1
960,157,22.25,6,False,THREE,6,1
960,158,-1.7,6,False,GUESS,6,1
960,159,-8.5,6,False,BLOOD,6,1
980,160,0.25,6,False,MORAL,6,1
984,161,-18.8,6,False,GRANT,6,1
984,162,-22.25,6,False,FORTH,6,1
984,163,-15.65,6,False,LARGE,6,1
1004,164,-3.6,6,False,FLEET,6,1
1008,165,-9.2,6,False,VITAL,6,1
1008,166,-7.55,6,False,ROYAL,6,1
1008,167,-19.3,6,False,ALONG,6,1
1028,168,-14.8,6,False,RADIO,6,1
1032,169,-5.05,6,False,CATCH,6,1
1032,170,-12.45,6,False,TREND,6,1
1032,171,-11.0,6,False,WHOSE,6,1
1052,172,-9.1,6,False,TODAY,6,1
1056,173,-15.45,6,False,EVERY,6,1
1056,174,-16.7,6,False,BILLY,6,1
1056,175,0.55,6,False,EARLY,6,1
1076,176,-4.95,6,False,JOINT,6,3
1080,177,-23.95,6,False,LUCKY,6,1
1080,178,-3.45,6,False,WROTE,6,1
1080,179,-3.75,6,False,LOWER,6,1
1100,180,-24.75,6,False,PARTY,6,1
1104,181,-9.15,6,False,CLIMB,6,1
1104,182,-8.75,6,False,FORUM,6,1
1104,183,-13.1,6,False,CARDS,6,1
1124,184,-5.15,6,False,ROBIN,6,1
1128,185,2.65,6,False,GREAT,6,2
1128,186,0.95,6,False,CLIMB,6,1
1128,187,-9.5,6,False,NOISE,6,1
1148,188,-13.75,6,False,EXTRA,6,1
1152,189,-9.5,6,False,EVERY,6,1
1152,190,-3.35,6,False,LEAST,6,1
1152,191,15.2,6,False,CRAFT,6,1
1172,192,-8.4,6,False,CALLS,6,1
