train/learning_rate,train/policy_loss,train/entropy_loss,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/n_updates,train/explained_variance,train/value_loss,time/fps,time/total_timesteps,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
0.0003,14.183772087097168,-6.034623622894287,3300,-26.18,5.95,3299,0.7270721793174744,297.5759582519531,690,66000,95,,
0.0003,-56.13142776489258,-6.0129804611206055,3400,-26.933999999999997,5.99,3399,0.7789527177810669,306.90045166015625,691,68000,98,,
0.0003,-77.98435974121094,-6.035449981689453,3500,-24.485,5.96,3499,0.7908255457878113,411.7090759277344,693,70000,100,,
0.0003,-44.4206657409668,-6.042271614074707,3600,-28.151999999999994,6.0,3599,0.7648255228996277,252.0814971923828,695,72000,103,,
0.0003,-75.32363891601562,-6.062521934509277,3700,-29.695999999999994,6.0,3699,0.8537530303001404,267.5867919921875,697,74000,106,,
0.0003,-50.07853317260742,-6.0500054359436035,3800,-31.052999999999997,6.0,3799,0.8351488709449768,198.10165405273438,699,76000,108,,
0.0003,-49.53990936279297,-6.052700996398926,3900,-29.816,5.95,3899,0.8128150105476379,241.82449340820312,701,78000,111,,
0.0003,4.075913429260254,-6.039332389831543,,,,3999,0.8106191158294678,191.58493041992188,,80000,,-106.90599969863892,6.0
,,,4000,-26.796,5.98,,,,701,80000,114,,
0.0003,23.628509521484375,-6.045552730560303,4100,-33.370000000000005,6.0,4099,0.7713964581489563,212.51040649414062,703,82000,116,,
0.0003,26.153453826904297,-6.018763542175293,4200,-27.855,5.95,4199,0.8119004368782043,179.2100830078125,705,84000,119,,
0.0003,-49.2673454284668,-5.919126033782959,4300,-26.234999999999996,5.96,4299,0.7827141284942627,135.37974548339844,707,86000,121,,
0.0003,-31.938640594482422,-5.9749250411987305,4400,-28.54,5.95,4399,0.8846831321716309,109.73670959472656,709,88000,123,,
0.0003,-20.962627410888672,-5.9400105476379395,4500,-27.638,5.96,4499,0.8938360214233398,108.48087310791016,711,90000,126,,
0.0003,-13.247654914855957,-5.967650890350342,4600,-27.278,5.92,4599,0.8685868382453918,119.21891784667969,713,92000,129,,
0.0003,-0.15736684203147888,-5.994693279266357,4700,-30.191999999999997,5.97,4699,0.797934353351593,139.8333740234375,714,94000,131,,
0.0003,-20.644176483154297,-5.923387050628662,4800,-29.789999999999996,6.0,4799,0.8798713088035583,93.38894653320312,716,96000,134,,
0.0003,-6.122889995574951,-5.8679094314575195,4900,-25.188000000000002,5.93,4899,0.8861320614814758,84.99140930175781,717,98000,136,,
0.0003,1.5630779266357422,-5.89796781539917,,,,4999,0.9081642627716064,60.773193359375,,100000,,-107.95599967956542,6.0
,,,5000,-30.848999999999997,6.0,,,,716,100000,139,,
