timestep,episode_num,score,steps,survival_time,lines_cleared,single_clears,double_clears,triple_clears,tetris_clears,total_pieces,piece_I,piece_O,piece_T,piece_L,piece_J,piece_S,piece_Z,actions_taken,rotations,left_moves,right_moves,soft_drops,hard_drops,no_ops,invalid_actions,holes_created,max_height,avg_height,total_bumpiness,wells_created,coverage,max_combo,unique_states,state_revisits,lines_per_piece,score_per_piece,invalid_action_rate,tetris_rate
2592,31,0,71,71,0,0,0,0,0,15,2,2,2,2,2,3,2,71,8,13,11,16,13,10,2,52,20,11.300000190734863,42,3,0.3,0,16,55,0.0,0.0,0.028169014084507043,0.0
2696,32,0,133,133,0,0,0,0,0,17,3,3,3,3,1,2,2,133,21,34,20,21,16,21,3,61,20,12.899999618530273,37,2,0.34,0,18,115,0.0,0.0,0.022556390977443608,0.0
2740,33,0,91,91,0,0,0,0,0,13,2,2,2,2,2,1,2,91,14,19,18,13,13,14,0,57,20,10.90000057220459,40,0,0.26,0,14,77,0.0,0.0,0.0,0.0
2792,34,0,50,50,0,0,0,0,0,12,1,2,2,2,2,1,2,50,9,8,1,9,12,11,0,44,20,9.199999809265137,40,1,0.24,0,13,37,0.0,0.0,0.0,0.0
2832,35,0,71,71,0,0,0,0,0,12,2,2,1,1,2,2,2,71,14,11,10,13,12,11,7,29,20,7.699999809265137,36,0,0.24,0,13,58,0.0,0.0,0.09859154929577464,0.0
2972,36,0,58,58,0,0,0,0,0,10,2,2,1,2,0,2,1,58,14,9,7,8,9,11,0,45,19,8.5,38,0,0.2,0,11,47,0.0,0.0,0.0,0.0
3040,37,0,62,62,0,0,0,0,0,10,2,0,2,1,2,2,1,62,10,9,10,13,9,11,0,56,19,9.59999942779541,38,0,0.2,0,11,51,0.0,0.0,0.0,0.0
3124,38,0,73,73,0,0,0,0,0,13,2,2,1,2,2,2,2,73,17,12,9,9,13,13,0,58,19,11.0,38,1,0.26,0,14,59,0.0,0.0,0.0,0.0
3164,39,0,117,117,0,0,0,0,0,17,2,3,1,3,3,3,2,117,16,28,17,23,16,17,6,63,20,13.09999942779541,26,2,0.34,0,17,100,0.0,0.0,0.05128205128205128,0.0
3228,40,0,47,47,0,0,0,0,0,10,1,2,1,2,2,2,0,47,8,6,7,7,9,10,0,35,20,7.5,40,0,0.2,0,11,36,0.0,0.0,0.0,0.0
3312,41,0,37,37,0,0,0,0,0,10,2,2,1,2,0,1,2,37,10,5,5,4,10,3,0,44,19,8.399999618530273,38,1,0.2,0,11,26,0.0,0.0,0.0,0.0
3320,42,0,49,49,0,0,0,0,0,14,2,2,2,1,3,2,2,49,6,6,10,7,12,8,1,67,20,12.300000190734863,37,1,0.28,0,14,35,0.0,0.0,0.02040816326530612,0.0
3320,43,0,87,87,0,0,0,0,0,16,3,2,2,2,2,2,3,87,12,10,15,17,15,18,0,67,20,13.09999942779541,40,2,0.32,0,17,70,0.0,0.0,0.0,0.0
3604,44,0,71,71,0,0,0,0,0,14,2,1,2,3,2,2,2,71,10,15,13,10,13,10,0,41,20,9.700000762939453,38,1,0.28,0,15,56,0.0,0.0,0.0,0.0
3608,45,0,74,74,0,0,0,0,0,14,2,2,1,2,2,2,3,74,16,4,17,13,13,11,4,58,20,11.5,24,0,0.28,0,15,59,0.0,0.0,0.05405405405405406,0.0
3620,46,0,75,75,0,0,0,0,0,13,2,2,2,2,1,2,2,75,12,17,8,13,13,12,0,45,19,9.700000762939453,40,0,0.26,0,14,61,0.0,0.0,0.0,0.0
3732,47,0,126,126,0,0,0,0,0,15,3,3,2,2,2,1,2,126,30,22,22,15,15,22,6,82,20,14.199999809265137,30,2,0.3,0,15,111,0.0,0.0,0.047619047619047616,0.0
3784,48,0,44,44,0,0,0,0,0,12,2,2,2,1,1,2,2,44,7,5,10,6,11,5,1,56,20,10.399999618530273,40,1,0.24,0,13,31,0.0,0.0,0.022727272727272728,0.0
3796,49,0,48,48,0,0,0,0,0,11,2,0,2,1,2,2,2,48,6,7,5,9,10,11,0,39,20,8.300000190734863,40,0,0.22,0,12,36,0.0,0.0,0.0,0.0
4020,50,0,100,100,0,0,0,0,0,14,1,2,2,3,2,2,2,100,21,15,14,19,14,17,0,67,20,12.300000190734863,32,0,0.28,0,15,85,0.0,0.0,0.0,0.0
4060,51,0,66,66,0,0,0,0,0,10,2,1,2,2,1,1,1,66,14,6,13,12,9,12,1,50,19,9.0,38,1,0.2,0,11,55,0.0,0.0,0.015151515151515152,0.0
4100,52,0,79,79,0,0,0,0,0,12,2,2,0,2,2,2,2,79,12,11,17,14,11,14,2,71,19,11.90000057220459,36,1,0.24,0,13,66,0.0,0.0,0.02531645569620253,0.0
4104,53,0,93,93,0,0,0,0,0,17,3,1,2,2,3,3,3,93,16,18,14,15,17,13,0,73,20,14.09999942779541,25,2,0.34,0,18,75,0.0,0.0,0.0,0.0
4244,54,0,36,36,0,0,0,0,0,12,2,2,2,1,2,2,1,36,5,3,2,7,12,7,0,42,19,9.0,38,0,0.24,0,13,23,0.0,0.0,0.0,0.0
4284,55,0,45,45,0,0,0,0,0,11,2,2,2,1,1,2,1,45,7,5,7,8,11,7,0,35,19,7.900000095367432,38,1,0.22,0,12,33,0.0,0.0,0.0,0.0
4340,56,0,80,80,0,0,0,0,0,13,2,2,2,2,2,2,1,80,11,9,25,5,12,18,1,52,20,10.5,23,0,0.26,0,14,66,0.0,0.0,0.0125,0.0
4344,57,0,71,71,0,0,0,0,0,14,3,2,2,2,2,2,1,71,17,11,10,10,12,11,3,54,20,11.0,40,2,0.28,0,15,56,0.0,0.0,0.04225352112676056,0.0
4544,58,0,51,51,0,0,0,0,0,11,1,2,2,1,2,1,2,51,10,7,7,4,11,12,3,48,19,9.199999809265137,38,0,0.22,0,12,39,0.0,0.0,0.058823529411764705,0.0
4584,59,0,85,85,0,0,0,0,0,14,2,1,2,3,2,2,2,85,18,10,18,13,13,13,5,49,20,10.5,37,0,0.28,0,15,70,0.0,0.0,0.058823529411764705,0.0
4612,60,0,82,82,0,0,0,0,0,12,2,2,1,2,2,1,2,82,9,15,18,16,10,14,2,75,20,12.300000190734863,42,2,0.24,0,13,69,0.0,0.0,0.024390243902439025,0.0
4640,61,0,74,74,0,0,0,0,0,13,2,2,2,2,2,1,2,74,10,14,12,15,13,10,0,30,19,8.199999809265137,38,1,0.26,0,14,60,0.0,0.0,0.0,0.0
4724,62,0,35,35,0,0,0,0,0,10,2,1,2,2,0,1,2,35,3,4,6,5,10,7,0,47,19,8.699999809265137,38,0,0.2,0,11,24,0.0,0.0,0.0,0.0
4856,63,0,54,54,0,0,0,0,0,13,2,2,2,2,1,2,2,54,9,6,10,8,13,8,0,47,20,9.899999618530273,40,0,0.26,0,14,40,0.0,0.0,0.0,0.0
4892,64,0,70,70,0,0,0,0,0,12,2,1,2,2,2,1,2,70,15,7,6,16,10,16,1,39,19,8.699999809265137,43,2,0.24,0,13,57,0.0,0.0,0.014285714285714285,0.0
4908,65,0,91,91,0,0,0,0,0,13,2,2,2,1,2,2,2,91,14,14,16,21,12,14,3,55,19,10.700000762939453,38,2,0.26,0,14,77,0.0,0.0,0.03296703296703297,0.0
5052,66,0,49,49,0,0,0,0,0,12,2,1,1,2,2,2,2,49,5,9,12,6,12,5,1,57,19,10.5,40,2,0.24,0,13,36,0.0,0.0,0.02040816326530612,0.0
5112,67,0,97,97,0,0,0,0,0,14,3,2,1,2,2,2,2,97,17,15,18,13,13,21,2,54,20,11.0,34,2,0.28,0,15,82,0.0,0.0,0.020618556701030927,0.0
5116,68,0,56,56,0,0,0,0,0,12,2,1,2,2,1,2,2,56,5,11,10,9,11,10,1,78,20,12.600000381469727,40,2,0.24,0,12,44,0.0,0.0,0.017857142857142856,0.0
5124,69,0,54,54,0,0,0,0,0,11,2,2,2,0,2,2,1,54,10,5,12,9,11,7,0,49,19,9.300000190734863,38,1,0.22,0,12,42,0.0,0.0,0.0,0.0
5272,70,0,39,39,0,0,0,0,0,11,1,1,2,1,2,2,2,39,4,4,5,8,10,8,0,58,20,10.199999809265137,40,0,0.22,0,12,27,0.0,0.0,0.0,0.0
5292,71,0,60,60,0,0,0,0,0,10,2,0,2,1,1,2,2,60,10,10,11,7,10,12,0,49,19,8.899999618530273,38,0,0.2,0,10,50,0.0,0.0,0.0,0.0
5376,72,0,63,63,0,0,0,0,0,13,2,1,2,2,2,2,2,63,12,12,8,7,13,11,0,54,19,10.59999942779541,40,1,0.26,0,14,49,0.0,0.0,0.0,0.0
5508,73,0,54,54,0,0,0,0,0,11,1,2,1,2,1,2,2,54,7,10,10,6,10,11,0,60,20,10.399999618530273,40,0,0.22,0,12,42,0.0,0.0,0.0,0.0
5536,74,0,106,106,0,0,0,0,0,15,2,3,3,2,2,2,1,106,24,15,18,15,14,20,7,75,20,13.5,39,3,0.3,0,16,90,0.0,0.0,0.0660377358490566,0.0
5640,75,0,66,66,0,0,0,0,0,12,2,1,2,2,2,1,2,66,17,10,9,13,10,7,1,60,20,10.800000190734863,40,1,0.24,0,13,53,0.0,0.0,0.015151515151515152,0.0
5644,76,0,93,93,0,0,0,0,0,15,3,2,2,2,2,2,2,93,19,19,13,12,15,15,2,96,20,15.59999942779541,28,1,0.3,0,16,77,0.0,0.0,0.021505376344086023,0.0
