rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,train/clip_fraction,train/approx_kl,train/clip_range,train/explained_variance,train/learning_rate,train/value_loss,train/loss,train/entropy_loss,train/n_updates,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
-1.4523332999999996,8,1,8192,6.0,927,,,,,,,,,,,,
-0.13400002000000025,23,2,16384,5.99,688,0.1341552734375,0.016278267,0.2,-0.007758736610412598,0.0003,537.8178629815578,193.52919006347656,-6.228996196016669,10,-0.041278722240167556,,
,,,20000,,,0.21566162109375,0.017744873,0.2,0.5353637933731079,0.0003,227.09123120605946,158.00454711914062,-6.2017537515610455,20,-0.06098216485370358,6.0,-38.28933343529701
-5.592333370000001,39,3,24576,6.0,622,,,,,,,,,,,,
-0.75700002,53,4,32768,6.0,607,0.18367919921875,0.015571068,0.2,0.6042532920837402,0.0003,183.54392960965635,154.58360290527344,-6.188778599351645,30,-0.05523179147730843,,
,,,40000,,,0.18372802734375,0.016251568,0.2,0.6111528873443604,0.0003,179.21101993322372,18.353958129882812,-6.178422159329057,40,-0.05629259504166839,6.0,-31.47066707134247
-4.47500003,68,5,40960,5.95,595,,,,,,,,,,,,
-0.8810000000000007,84,6,49152,5.93,582,0.19349365234375,0.016247343,0.2,0.5954931974411011,0.0003,187.3733296588063,157.4576873779297,-6.168879488483071,50,-0.056113459013431566,,
-4.090666690000001,99,7,57344,5.96,573,0.181787109375,0.01570311,0.2,0.5531534552574158,0.0003,232.94533413499593,27.846105575561523,-6.1584032494574785,60,-0.05448159978259355,,
,,,60000,,,0.23369140625,0.017737225,0.2,0.6215898990631104,0.0003,169.760570910573,24.549699783325195,-6.145490477606654,70,-0.06209479912395181,6.0,-12.908000195026398
0.5586666699999995,115,8,65536,5.97,569,,,,,,,,,,,,
-1.16066674,129,9,73728,6.0,569,0.22113037109375,0.017250538,0.2,0.6276542544364929,0.0003,165.27222849726678,41.86722946166992,-6.13117537163198,80,-0.06168232708278083,,
,,,80000,,,0.2062255859375,0.01726361,0.2,0.5801862478256226,0.0003,200.23318900763988,20.12318992614746,-6.123139786347747,90,-0.058650167663290634,6.0,-22.58200008034706
-1.5413333599999997,145,10,81920,6.0,563,,,,,,,,,,,,
0.2573333300000003,160,11,90112,5.98,562,0.2243896484375,0.017669056,0.2,0.5938069820404053,0.0003,195.41882550120354,21.209224700927734,-6.1114389028400185,100,-0.05929199965830776,,
2.1389999400000006,175,12,98304,5.93,561,0.23504638671875,0.017976131,0.2,0.6332975029945374,0.0003,162.37436823248862,34.469078063964844,-6.09834856390953,110,-0.06348151758847961,,
,,,100000,,,0.21104736328125,0.017117646,0.2,0.5719338655471802,0.0003,215.42446944713592,161.21543884277344,-6.085156013071537,120,-0.05730675084141694,5.92,-7.650000215768814
1.1599999799999994,202,13,106496,5.97,524,,,,,,,,,,,,
