timestep,episode_num,reward,length,won,target_word,guess_count,possible_words_count
864,142,-8.0,6,False,DELAY,6,1
864,143,-2.833333,6,False,BONDS,6,1
876,144,-15.0,6,False,LINKS,6,1
888,145,10.833333,6,False,LEARN,6,1
888,146,-19.666667,6,False,TIGHT,6,3
888,147,10.833333,6,False,LEWIS,6,1
900,148,-22.833333,6,False,WORRY,6,2
912,149,-25.333333,6,False,APPLY,6,1
912,150,14.5,6,False,SMART,6,1
912,151,4.333333,6,False,BLUES,6,1
924,152,1.666667,6,False,LARGE,6,2
936,153,5.0,6,False,LEARN,6,1
936,154,-7.833333,6,False,GUARD,6,1
936,155,1.0,6,False,ROBIN,6,1
948,156,0.833333,6,False,YOUNG,6,1
960,157,-21.833333,6,False,POINT,6,2
960,158,-8.0,6,False,CHOSE,6,1
960,159,5.833333,6,False,FORTY,6,1
972,160,3.166667,6,False,SHOCK,6,1
984,161,3.166667,6,False,RAPID,6,1
984,162,-17.166667,6,False,ABOUT,6,1
984,163,-14.666667,6,False,NEEDS,6,1
996,164,-3.833333,6,False,PARTY,6,1
1008,165,5.5,6,False,WRITE,6,1
1008,166,3.166667,6,False,STILL,6,1
1008,167,-5.0,6,False,MOVED,6,1
1020,168,10.333333,6,False,CRASH,6,1
1032,169,-15.5,6,False,MAYOR,6,2
1032,170,6.333333,6,False,LARGE,6,1
1032,171,-5.833333,6,False,OFTEN,6,1
1044,172,-15.833333,6,False,BASIS,6,1
1056,173,-18.5,6,False,DRESS,6,2
1056,174,-16.166667,6,False,PILOT,6,1
1056,175,2.166667,6,False,HENCE,6,1
1068,176,-7.166667,6,False,LIMIT,6,1
1080,177,-1.166667,6,False,BONDS,6,1
1080,178,-17.666667,6,False,TOUCH,6,1
1080,179,-1.666667,6,False,LUNCH,6,1
1092,180,-1.666667,6,False,STILL,6,1
1104,181,-19.166667,6,False,GOING,6,1
1104,182,15.833333,6,False,SHALL,6,1
1104,183,-1.0,6,False,WHILE,6,1
1116,184,-1.833333,6,False,CLOSE,6,1
1128,185,1.166667,6,False,CATCH,6,1
1128,186,4.833333,6,False,SNARE,6,1
1128,187,-14.333333,6,False,CHILD,6,1
1140,188,20.666667,6,False,DRESS,6,1
1152,189,-6.166667,6,False,GUEST,6,1
1152,190,-3.166667,6,False,THANK,6,1
1152,191,-8.0,6,False,SHOOT,6,1
1164,192,12.666667,6,False,SWEET,6,1
1176,193,-1.0,6,False,THESE,6,2
1176,194,-14.333333,6,False,STORM,6,3
1176,195,2.666667,6,False,MEDIA,6,1
1188,196,-2.0,6,False,ADIEU,6,1
1200,197,-2.666667,6,False,BOOKS,6,1
1200,198,-3.833333,6,False,CRASH,6,1
1200,199,6.333333,6,False,SLIDE,6,1
1212,200,4.166667,6,False,TOUGH,6,3
1224,201,14.166667,6,False,STAFF,6,1
1224,202,7.166667,6,False,LEARN,6,1
1224,203,3.666667,6,False,CAROL,6,1
1236,204,-20.333333,6,False,FORTH,6,3
1248,205,8.666667,6,False,NURSE,6,1
1248,206,0.166667,6,False,IMAGE,6,1
1248,207,11.666667,6,False,POINT,6,2
