rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,train/learning_rate,train/explained_variance,time/fps,train/entropy_loss,train/n_updates,train/policy_loss,train/value_loss,time/iterations,eval/mean_reward,eval/mean_ep_length
-6552.634841,2000,105.0,1,0.0007,0.0054817795753479,1270,-1.160625696182251,99,-110.79695129394531,34775.73046875,100,,
-7708.243825999999,4000,622.0,3,0.0007,0.328785240650177,1315,-1.1970974206924438,199,-18.375558853149414,1347.6568603515625,200,,
-7990.996514749999,6000,738.0,4,0.0007,0.5381805896759033,1310,-1.0909572839736938,299,-10.394706726074219,985.6929931640625,300,,
-10068.534622,8000,893.4,6,0.0007,0.03676629066467285,1320,-1.028944730758667,399,-48.120086669921875,5114.85107421875,400,,
-10068.534622,10000,893.4,7,0.0007,0.6831670999526978,1327,-0.9953036308288574,499,-31.094079971313477,1350.7239990234375,500,,
-10178.902171125,12000,1216.375,8,0.0007,-0.0870809555053711,1339,-1.1840280294418335,599,-26.331920623779297,6666.4140625,600,,
-10178.902171125,14000,1216.375,10,0.0007,0.8924320340156555,1339,-1.069242238998413,699,2.7780563831329346,197.01329040527344,700,,
-10226.569764000002,16000,1302.7777777777778,11,0.0007,0.8376786708831787,1346,-1.0272400379180908,799,-17.736312866210938,569.2384643554688,800,,
-9551.010047363638,18000,1350.909090909091,13,0.0007,0.7734490036964417,1355,-0.9639216661453247,899,-4.185239791870117,916.0238037109375,900,,
-9697.554272583335,20000,1375.75,14,0.0007,-0.0012853145599365234,1362,-0.8816521763801575,999,6.142340660095215,117.86434173583984,1000,,
-9298.356793923078,22000,1409.7692307692307,16,0.0007,0.0031114816665649414,1363,-0.8330769538879395,1099,2.5706722736358643,71.74565887451172,1100,,
-9298.356793923078,24000,1409.7692307692307,17,0.0007,0.31032437086105347,1364,-0.7690259218215942,1199,-24.337642669677734,9504.560546875,1200,,
-8723.7341485,26000,1508.3125,19,0.0007,0.004627883434295654,1368,-0.7872334718704224,1299,1.9390541315078735,13.869878768920898,1300,,
-8723.7341485,28000,1508.3125,20,0.0007,-0.0024682283401489258,1369,-0.7597643136978149,1399,2.107158660888672,14.144566535949707,1400,,
-8723.7341485,30000,1508.3125,21,0.0007,0.9121691584587097,1372,-0.7477446794509888,1499,-12.626147270202637,552.7132568359375,1500,,
-8725.410995263157,32000,1558.7894736842106,23,0.0007,0.9969698190689087,1375,-0.7652250528335571,1599,-1.7565206289291382,16.10201072692871,1600,,
-8592.36475825,34000,1589.95,24,0.0007,0.034607529640197754,1373,-0.7865467071533203,1699,2.73197340965271,100.97808837890625,1700,,
-8592.36475825,36000,1589.95,26,0.0007,0.02482396364212036,1374,-0.7488819360733032,1799,4.873910903930664,101.6415786743164,1800,,
-8554.012578571428,38000,1581.3809523809523,27,0.0007,0.0003967881202697754,1374,-0.7407385110855103,1899,3.93357515335083,50.33422088623047,1900,,
,40000,,,0.0007,0.9526257514953613,,-0.7569811940193176,1999,-13.012033462524414,645.1339111328125,,-10210.670303359628,1296.5
-8554.012578571428,40000,1581.3809523809523,46,,,858,,,,,2000,,
-8479.420683916667,42000,1660.2916666666667,47,0.0007,-0.0006926059722900391,875,-0.8837243318557739,2099,2.399320125579834,106.61573791503906,2100,,
-8479.420683916667,44000,1660.2916666666667,49,0.0007,0.9944204688072205,890,-0.7937218546867371,2199,0.015143227763473988,38.1351432800293,2200,,
