timestep,episode_num,reward,length,won,target_word,guess_count,possible_words_count
864,142,-41.2,6,False,YOUNG,6,1
864,143,-32.6,6,False,OCEAN,6,1
884,144,-29.4,6,False,THREW,6,1
888,145,-38.2,6,False,LEARN,6,1
888,146,-36.0,6,False,LEARN,6,1
888,147,-33.2,6,False,CLOTH,6,1
908,148,-38.5,6,False,SHALL,6,1
912,149,-49.5,6,False,GROWN,6,3
912,150,-19.2,6,False,ARENA,6,1
912,151,-23.7,6,False,CRAZY,6,1
932,152,-42.2,6,False,NEEDS,6,1
936,153,-35.3,6,False,SMILE,6,1
936,154,-28.4,6,False,DRESS,6,1
936,155,-29.1,6,False,CLOUD,6,1
956,156,-13.6,6,False,BASIC,6,1
960,157,5.5,6,False,THREE,6,1
960,158,-23.8,6,False,GUESS,6,1
960,159,-29.5,6,False,BLOOD,6,1
980,160,-17.5,6,False,MORAL,6,1
984,161,-26.7,6,False,GRANT,6,1
984,162,-44.0,6,False,FORTH,6,1
984,163,-34.6,6,False,LARGE,6,1
1004,164,-29.4,6,False,FLEET,6,1
1008,165,-32.8,6,False,VITAL,6,1
1008,166,-26.7,6,False,ROYAL,6,1
1008,167,-39.7,6,False,ALONG,6,1
1028,168,-37.7,6,False,RADIO,6,1
1032,169,-29.2,6,False,CATCH,6,1
1032,170,-29.8,6,False,TREND,6,1
1032,171,-31.0,6,False,WHOSE,6,1
1052,172,-29.4,6,False,TODAY,6,1
1056,173,-41.8,6,False,EVERY,6,1
1056,174,-39.3,6,False,BILLY,6,1
1056,175,-39.1,6,False,EARLY,6,4
1076,176,-27.8,6,False,JOINT,6,3
1080,177,-47.8,6,False,LUCKY,6,1
1080,178,-25.3,6,False,WROTE,6,1
1080,179,-27.0,6,False,LOWER,6,1
1100,180,-48.0,6,False,PARTY,6,1
1104,181,-31.6,6,False,CLIMB,6,1
1104,182,-31.0,6,False,FORUM,6,1
1104,183,-37.4,6,False,CARDS,6,1
1124,184,-27.1,6,False,ROBIN,6,1
1128,185,-17.9,6,False,GREAT,6,2
1128,186,-20.7,6,False,CLIMB,6,1
1128,187,-32.5,6,False,NOISE,6,1
1148,188,-32.0,6,False,EXTRA,6,1
1152,189,-31.0,6,False,EVERY,6,1
1152,190,-22.9,6,False,LEAST,6,1
1152,191,-14.0,6,False,CRAFT,6,1
1172,192,-32.6,6,False,CALLS,6,1
1176,193,-32.9,6,False,WATER,6,1
1176,194,-44.6,6,False,PAPER,6,1
1176,195,-36.5,6,False,NURSE,6,1
1196,196,-24.2,6,False,STRIP,6,1
1200,197,-15.9,6,False,LEARN,6,1
1200,198,-12.9,6,False,SHIFT,6,1
1200,199,-25.3,6,False,MOUSE,6,1
1220,200,-11.2,6,False,NORTH,6,2
1224,201,-47.4,6,False,WATCH,6,1
1224,202,-44.6,6,False,PITCH,6,1
1224,203,-24.3,6,False,TIGHT,6,1
1244,204,-34.4,6,False,WASTE,6,2
1248,205,-22.3,6,False,TREAT,6,2
1248,206,-19.6,6,False,BLUES,6,1
1248,207,-37.5,6,False,CATCH,6,2
1268,208,-2.3,6,False,SMALL,6,1
1272,209,-36.9,6,False,STEAM,6,1
1272,210,-44.3,6,False,FLASH,6,1
1272,211,-33.3,6,False,COAST,6,1
1292,212,-49.3,6,False,LUCKY,6,1
1296,213,-39.1,6,False,THEFT,6,1
1296,214,-49.9,6,False,JIMMY,6,1
1296,215,-20.8,6,False,DOUBT,6,1
1316,216,-49.9,6,False,PROUD,6,1
1320,217,-40.7,6,False,SORRY,6,1
1320,218,-5.9,6,False,STORE,6,1
1320,219,-47.9,6,False,WHICH,6,1
1340,220,-17.5,6,False,TRIES,6,1
1344,221,-8.1,6,False,CRIME,6,1
1344,222,-38.5,6,False,MONTH,6,1
1344,223,-43.4,6,False,PRIDE,6,2
1364,224,-29.3,6,False,ANGEL,6,1
1368,225,-27.2,6,False,ASSET,6,1
1368,226,165.9,6,False,LABEL,6,1
1368,227,-19.2,6,False,BLUES,6,1
1388,228,-29.7,6,False,MAKER,6,1
1392,229,-17.5,6,False,DANCE,6,1
1392,230,-39.0,6,False,PRIZE,6,2
1392,231,-16.5,6,False,CHAIR,6,1
1412,232,-49.1,6,False,THEFT,6,1
1416,233,-38.2,6,False,CIVIL,6,1
1416,234,-42.4,6,False,BUILT,6,1
1416,235,-34.1,6,False,THINK,6,2
1436,236,-22.3,6,False,STAGE,6,2
1440,237,-24.3,6,False,TRUTH,6,1
1440,238,-25.7,6,False,USAGE,6,1
1440,239,-45.8,6,False,SHAPE,6,2
1460,240,-44.2,6,False,GROWN,6,1
1464,241,-24.6,6,False,ARISE,6,1
1464,242,-33.2,6,False,LIMIT,6,1
1464,243,-47.0,6,False,INDEX,6,1
1484,244,-71.5,6,False,YOUTH,6,4
1488,245,-36.9,6,False,EVENT,6,1
1488,246,-22.3,6,False,STUDY,6,1
1488,247,-35.5,6,False,FALSE,6,1
1508,248,-32.9,6,False,GUESS,6,1
1512,249,-36.2,6,False,REFER,6,1
1512,250,-10.0,6,False,PROUD,6,1
1512,251,-25.3,6,False,MOUTH,6,1
1532,252,-32.6,6,False,THINK,6,1
1536,253,-32.2,6,False,LAYER,6,1
1536,254,-41.3,6,False,FIELD,6,1
1536,255,-21.9,6,False,TEXAS,6,1
1552,256,162.1,4,False,STAKE,4,1
1556,257,-43.8,6,False,GUESS,6,1
1560,258,-34.5,6,False,TOPIC,6,1
1560,259,-37.3,6,False,PITCH,6,1
1576,260,-35.6,6,False,MOUNT,6,1
1580,261,-37.1,6,False,SLIDE,6,1
1584,262,-41.5,6,False,ROUGH,6,1
1584,263,-29.3,6,False,THING,6,1
1600,264,-29.3,6,False,CHAIR,6,1
1604,265,-21.5,6,False,REACH,6,1
1608,266,-22.6,6,False,CHAIR,6,1
1608,267,-3.4,6,False,ARISE,6,1
1624,268,-32.0,6,False,STAND,6,1
1628,269,-48.9,6,False,SIXTY,6,2
1632,270,-19.2,6,False,RATIO,6,1
1632,271,-27.3,6,False,PARTY,6,1
1648,272,-18.7,6,False,LEAST,6,1
1652,273,-0.6,6,False,CREAM,6,1
