timestep,episode_num,score,steps,survival_time,lines_cleared,single_clears,double_clears,triple_clears,tetris_clears,total_pieces,piece_I,piece_O,piece_T,piece_L,piece_J,piece_S,piece_Z,actions_taken,rotations,left_moves,right_moves,soft_drops,hard_drops,no_ops,invalid_actions,holes_created,max_height,avg_height,total_bumpiness,wells_created,coverage,max_combo,unique_states,state_revisits,lines_per_piece,score_per_piece,invalid_action_rate,tetris_rate
54296,29,0,2407,2407,0,0,0,0,0,25,4,3,4,4,3,3,4,2407,52,1164,1155,21,0,15,464,69,20,16.900001525878906,17,1,0.5,0,26,2381,0.0,0.0,0.1927710843373494,0.0
59284,30,0,2234,2234,0,0,0,0,0,23,3,4,4,2,3,3,4,2234,56,1066,1103,4,1,4,431,73,20,16.5,15,2,0.46,0,24,2210,0.0,0.0,0.19292748433303492,0.0
59392,31,0,2462,2462,0,0,0,0,0,24,3,3,3,4,3,4,4,2462,47,1286,1116,8,0,5,376,70,20,16.600000381469727,30,4,0.48,0,25,2437,0.0,0.0,0.15272136474411047,0.0
59500,32,0,2090,2090,0,0,0,0,0,22,4,4,3,3,2,3,3,2090,48,1074,964,1,0,3,315,79,20,16.69999885559082,26,2,0.44,0,23,2067,0.0,0.0,0.1507177033492823,0.0
63176,33,0,2220,2220,0,0,0,0,0,22,4,3,2,3,3,3,4,2220,45,1075,1091,4,0,5,294,74,20,16.200000762939453,21,3,0.44,0,23,2197,0.0,0.0,0.13243243243243244,0.0
65276,34,0,1444,1444,0,0,0,0,0,14,2,2,1,2,2,3,2,1444,15,755,669,5,0,0,184,85,19,14.09999942779541,23,2,0.28,0,15,1429,0.0,0.0,0.12742382271468145,0.0
66888,35,0,1874,1874,0,0,0,0,0,19,2,3,3,2,3,3,3,1874,29,890,938,9,1,7,209,62,19,13.800000190734863,28,1,0.38,0,20,1854,0.0,0.0,0.11152614727854857,0.0
68752,36,0,2367,2367,0,0,0,0,0,25,4,4,3,2,4,4,4,2367,24,1205,1125,9,0,4,230,69,20,16.900001525878906,21,1,0.5,0,26,2341,0.0,0.0,0.09716941275876637,0.0
70776,37,0,1900,1900,0,0,0,0,0,17,3,2,2,2,3,2,3,1900,25,930,924,13,0,8,284,40,19,10.800000190734863,28,1,0.34,0,18,1882,0.0,0.0,0.14947368421052631,0.0
72136,38,0,1715,1715,0,0,0,0,0,16,3,2,1,3,2,3,2,1715,26,833,841,12,0,3,116,61,20,12.5,40,2,0.32,0,17,1698,0.0,0.0,0.06763848396501458,0.0
74568,39,0,1920,1920,0,0,0,0,0,19,3,3,2,3,3,2,3,1920,30,944,930,14,0,2,221,84,20,16.0,18,1,0.38,0,20,1900,0.0,0.0,0.11510416666666666,0.0
75708,40,0,1739,1739,0,0,0,0,0,18,2,3,2,3,3,2,3,1739,46,806,867,17,0,3,197,52,20,12.5,31,2,0.36,0,19,1720,0.0,0.0,0.11328349626221966,0.0
78260,41,0,1871,1871,0,0,0,0,0,16,2,2,1,2,3,3,3,1871,40,871,945,12,0,3,191,61,19,12.5,26,2,0.32,0,17,1854,0.0,0.0,0.10208444681988242,0.0
80932,42,0,2199,2199,0,0,0,0,0,23,3,3,3,4,3,4,3,2199,54,1127,991,24,0,3,299,71,20,16.299999237060547,13,1,0.46,0,24,2175,0.0,0.0,0.13597089586175534,0.0
83388,43,0,1920,1920,0,0,0,0,0,17,3,3,2,2,2,3,2,1920,57,947,905,8,0,3,317,66,19,13.40000057220459,25,2,0.34,0,18,1902,0.0,0.0,0.16510416666666666,0.0
83728,44,0,2290,2290,0,0,0,0,0,22,3,3,3,3,3,3,4,2290,90,1024,1163,11,0,2,620,70,20,15.800000190734863,18,1,0.44,0,23,2267,0.0,0.0,0.27074235807860264,0.0
88296,45,0,2509,2509,0,0,0,0,0,25,3,3,4,4,4,3,4,2509,75,1207,1218,8,0,1,287,56,20,15.59999942779541,38,3,0.5,0,26,2483,0.0,0.0,0.11438820247110403,0.0
89132,46,0,2050,2050,0,0,0,0,0,23,3,4,3,4,2,3,4,2050,39,981,1024,5,0,1,261,92,20,18.399999618530273,11,1,0.46,0,24,2026,0.0,0.0,0.1273170731707317,0.0
92708,47,0,2330,2330,0,0,0,0,0,24,4,3,4,3,4,2,4,2330,58,1149,1117,5,0,1,456,83,20,17.899999618530273,24,3,0.48,0,25,2305,0.0,0.0,0.19570815450643778,0.0
93808,48,0,2520,2520,0,0,0,0,0,25,3,3,4,3,4,4,4,2520,60,1321,1136,2,0,1,526,61,20,16.100000381469727,30,3,0.5,0,26,2494,0.0,0.0,0.20873015873015874,0.0
94808,49,0,1628,1628,0,0,0,0,0,15,2,2,3,3,1,2,2,1628,56,817,753,2,0,0,165,41,19,10.100000381469727,39,2,0.3,0,16,1612,0.0,0.0,0.10135135135135136,0.0
94852,50,0,1430,1430,0,0,0,0,0,15,2,3,2,2,1,3,2,1430,35,787,605,3,0,0,194,77,19,13.699999809265137,19,0,0.3,0,16,1414,0.0,0.0,0.13566433566433567,0.0
99148,51,0,1610,1610,0,0,0,0,0,16,3,2,2,3,2,2,2,1610,141,820,645,3,0,1,226,64,20,12.799999237060547,21,0,0.32,0,17,1593,0.0,0.0,0.14037267080745341,0.0
